IngredientID,IngredientName
0,chicken breast
1,vinegar
2,potato
3,salt
4,pork
5,beef
6,flour
7,paprika
8,cucumber
9,zucchini
10,bacon
11,egg
12,onion
13,oil
14,tomato
15,whipping cream
18,bread
20,bell pepper
21,sauce
22,pepper
25,butter
27,wing
29,sauerkraut
30,roll
32,parmesan cheese
35,turkey
36,®
37,salt spike
38,cranberry
39,smith apple
41,garlic
42,mayonnaise
43,bean
44,water
48,sugar
49,powder
54,lemon
56,honey
57,basil
59,salsa
61,cumin
62,caraway seed
63,yeast
64,mozzarella cheese
66,lemon pepper
68,chicken
69,pepper sauce
73,spinach
77,apple cider
78,parsley
82,romaine lettuce
84,margarine
89,brown sugar
90,paste
92,mustard
93,corn
94,oregano
95,monterey jack
97,thai seasoning
100,taco
104,cilantro
113,cabbage
114,cream cheese
115,pork loin
120,container cream
121,shoulder
124,dinner
128,cola
129,dill
131,rib
137,rotini
140,mushroom
141,fajita
147,pasta
150,mix
152,carrot
155,vegetable
158,chunky
160,chilies
161,cheddar
162,okra
166,rice vinegar
168,buffalo sauce
169,cajun
175,ketchup
185,avocado
187,celery seed
192,frozen
195,broth
196,alfalfa
198,broccoli
201,celery
203,milk
208,swanson
211,crust
213,wine
214,cream
218,tomato liquid
221,cooking spray
227,apple
235,sausage
239,style bean
240,tater
244,vidalia
245,barley
247,fluid
250,pomegranate juice
254,country
256,fig
267,fettuccine
268,chili powder
270,removeds breast
274,shallot
275,worcestershire sauce
276,coriander
280,'s
284,ginger
285,bay
288,ham
289,thyme
294,bouillon
300,seasoning
302,cardamom pod
304,chive
305,bison
306,rice
309,onion powder
312,prosciutto
315,sirloin
320,olive
321,yukon
323,nutmeg
325,bell
331,dijon mustard
341,cornstarch
346,beef broth
350,gruyere cheese
353,shrimp
361,shank
366,baby
367,button
369,apple cider vinegar
370,® slow
371,bun
376,curry powder
378,coconut milk
379,pea
389,lettuce
392,guacamole
400,pasta sauce
401,chili bean
402,tortilla
410,lavender
412,peppercorn
416,tomato chile
423,food velveeta
427,beef bouillon
441,turmeric
446,chayote squash
452,cayenne
453,hash
455,teriyaki sauce
458,cheese
467,bean sauce
468,peanut butter
471,breast
477,poblano pepper
481,lime
483,peanut
485,soy sauce
496,mustard powder
514,asparagus
516,heart
533,pine nut
535,pear
536,lemon juice
537,kielbasa
539,relish
541,tomato juice
542,jalapeno pepper
555,sausage hillshire
561,spaghetti squash
563,grape
569,raisin
572,virgin oil
583,stew meat
584,walnut
587,wine vinegar
588,kidney bean
590,beet
599,culantro
600,tart apple
613,cayenne pepper
616,sazon
623,adobo seasoning
626,cooking oil
628,plantain
648,beef tenderloin
649,chicken wing
650,beef kidney
659,puff pastry
663,pork sausage
669,harina
695,lasagna noodle
697,chile
699,rabe
710,cinnamon
718,herb
733,corn tortilla
736,marsala wine
748,elbow
749,chicken broth
752,pork stock
762,island
778,barbeque sauce
805,grass
808,dijon style
812,sesame seed
818,belgioioso fresh
824,provence
842,apricot
845,ginger root
850,apricot preserve
859,lime juice
861,phyllo dough
863,apple juice
867,almond
873,salad
879,tomato paste
888,container
895,cox
897,apple ring
901,cider
906,picante sauce
916,pancetta
918,steak
920,pork shoulder
929,shichimi togarashi
930,cooking wine
933,beer
935,beet liquid
940,orange juice
942,pear juice
944,oyster sauce
952,chuck
961,applesauce
963,juice
968,buttery
972,chili pepper
974,orange
985,taco sauce
987,sesame oil
988,sage
989,tomato puree
999,mushroom sauce
1008,bok choy
1028,waffle
1029,bulk sausage
1033,delicious apple
1045,lasagna sheet
1059,tub
1061,tandoori paste
1067,chili
1073,baby arugula
1103,lentil
1133,phyllo shell
1137,portobello
1146,rump
1156,blend
1171,eggplant
1184,mushroom liquid
1191,molasses
1196,skewer
1214,gravy
1220,wrapper
1233,rum
1235,soy
1236,pizza sauce
1237,pork rib
1244,kaiser
1255,cornflakes
1262,curry paste
1268,sweet relish
1278,broiler
1280,chicken stock
1283,fennel
1288,pimento
1290,asian chile
1292,ragú
1300,stock
1302,pineapple
1319,peanut oil
1328,ginger paste
1329,garam masala
1333,yogurt
1344,chicken liver
1346,guajillo chilies
1347,beef meat
1350,pasilla chile
1354,toothpick
1357,pineapple juice
1383,® traditional
1388,guava
1389,rice wine
1413,jalapeno chile
1416,crouton
1431,gin
1441,cider vinegar
1447,canola oil
1448,hoisin sauce
1477,sherry
1480,corn flour
1516,allspice
1519,habanero pepper
1535,chili sauce
1537,ranch dressing
1548,iron
1564,kale
1569,cabernet sauvignon
1572,gorgonzola
1582,baby spinach
1583,pizza
1589,star anise
1591,chinese spice
1593,mirin
1604,mushroom soup
1605,poultry
1619,chicken meat
1644,baking powder
1654,lamb
1658,chutney
1671,mix hidden
1678,ranch
1701,herb stuffing
1706,turkey breast
1708,anchovy
1711,process cheese sauce
1716,pecan
1723,dijon originale
1727,rye bread
1732,pepperidge farm
1747,turkey meat
1756,stir
1768,bulk
1780,chicken soup
1783,sake
1822,rosemary
1835,radicchio
1843,rom
1859,spaghetti
1880,veal
1889,beef consomme
1892,giant
1902,beef brisket
1908,maple
1912,seed
1913,steak sauce
1919,original
1931,pearl onion
1943,barbecue sauce
1958,dill pickle
1960,sauerkraut juice
1968,con
1976,beef tripe
1980,hominy
1983,round london
2001,pepper seasoning
2030,glutamate
2040,brussels
2048,coleslaw
2049,roast
2056,noodle
2073,meat
2074,ricotta cheese
2077,biscuit
2080,brown potato
2083,sirloin steak
2114,venison
2115,rutabaga
2128,garden cream
2145,serrano chile
2149,progresso
2176,fenugreek seed
2179,wedge
2185,cotija
2187,bibb
2194,blue cheese
2196,petite pea
2199,tarragon
2204,mint
2206,dripping
2216,parsnip
2217,turnip
2253,san marzano
2264,suzyq
2283,corn oil
2309,mace
2324,ice water
2334,almond meal
2363,romano cheese
2377,chip fritos
2381,pie crust
2400,baking mix
2412,baby bella
2426,maple syrup
2455,cornmeal
2462,asiago cheese
2463,baking soda
2506,spray pam
2508,glen®
2517,acinus
2588,french onion
2596,montreal
2620,sriracha sauce
2626,rice vermicelli
2638,sprout
2649,cooking
2656,consomme
2677,pepperoni
2720,dry
2735,parmigiano reggiano
2740,crumb
2766,thai style
2767,chip
2775,banana
2776,coconut rum
2780,serrano pepper
2790,fluid juice
2793,tomatillo
2809,syrup
2819,salt lawry
2827,shiitake
2833,johnsonville
2842,tidbit
2848,boston butt
2862,pickle juice
2867,jambalaya
2871,charcoal
2873,beef stock
2878,wood
2881,guinness
2884,beer budweiser
2901,chinese
2911,light zesty
2922,briefly
2923,less fat cream cheese
2925,grated
2929,pumpkin
2952,tomato seasoning
2953,corn relish
2995,prune
3013,liquid
3014,saffron
3018,garlic oil
3021,rice noodle
3029,fish sauce
3033,sargento
3059,beef shank
3132,celery soup
3161,cashew
3172,pinot
3220,squash
3236,mango
3248,blueberry
3249,biscuit dough
3251,marjoram
3263,jar
3269,pesto sauce
3273,ginger shoga
3282,seaweed
3294,choy
3296,duck breast
3303,pickle
3313,nonstick cooking
3350,hickory smoke
3373,orange peel
3376,rhubarb
3388,floret
3392,apple sausage
3401,pea pod
3422,chile sauce
3429,field
3448,soup
3452,sazon seasoning
3457,skirt steak
3465,® gluten
3466,fettuccini
3543,baking potato
3573,flavor
3584,package
3611,provolone cheese
3665,bouillon powder
3678,cajun blend
3687,sour cream
3695,oxtail
3708,® extra
3717,gram
3727,panko
3745,crumbles
3759,banana pepper
3776,sandwich
3777,curd
3782,beef chuck
3810,carton campbell
3868,tahini
3872,tip
3896,tomato sauce
3911,leek
3935,ac'cent
3955,beef rib
3968,meat tenderizer
3973,thai chile
3983,ramen
3991,orange marmalade
4000,sugar pea
4024,count
4050,tenderloin
4053,verde
4061,date
4098,gizzard
4105,chicken drumstick
4114,potato pepper
4121,style
4140,jasmine
4152,beef steak
4158,pre
4179,crescent
4220,bratwurst sausage
4234,dill weed
4235,nut
4257,sherry wine
4295,turkey sausage
4319,pocket bread
4335,cocoa powder
4336,tabasco
4354,fennel seed
4369,tart
4381,masa flour
4382,pepper paste
4390,style cheese
4393,apple brandy
4400,chihuaua
4406,kitchen twine
4409,wrap® heavy
4413,rib roast
4442,chile paste
4453,swiss chard
4458,herb bread
4469,coconut
4480,butternut squash
4514,strawberry jam
4517,buttermilk
4523,pepper jack
4561,frozen bean
4579,jarlsberg
4587,light cream
4594,game
4605,jalapeno
4619,plum wine
4686,crescent dinner
4696,marinara sauce
4747,romaine
4758,mozzarella
4773,biscuit biscuit
4776,andouille sausage
4806,food eg velveeta
4826,puree
4831,praline liqueur
4832,caper
4847,demi
4857,root
4879,tri
4882,® teriyaki
4889,snow pea
4894,chipotle
4972,plum sauce
4995,sunflower seed
4997,meatball
5003,park® hamburger
5024,dia
5030,sweet paprika
5039,cornbread
5059,pepperjack cheese
5089,pork rub
5093,granule
5096,cracker
5106,beef %
5111,chili paste
5128,macaroni
5139,base
5179,scallion
5201,pie shell
5215,wheat
5229,tomato soup
5233,carcass
5252,goat cheese
5339,kraft shredded
5358,kalamata
5371,cranberry sauce
5385,spread
5394,hummus
5405,vodka
5417,turkey wing
5422,bag blend
5431,strip
5479,merlot
5517,matzo meal
5526,dressing
5559,kimchi
5587,apple peel
5605,muenster cheese
5695,orzo
5716,diced
5718,baguette
5746,tyson® grilled ready® frozen fajita chicken breast
5747,crisco
5770,broccoli cheese
5801,cognac
5836,roquefort cheese
5852,lemon grass
5867,bacon rind
5948,plum jam
5965,louisiana
5972,birds eye
5993,coffee
6013,carb
6061,cocktail
6070,chile pepper lengthwise
6118,tomato ketchup
6124,farfalle
6137,fideo
6157,mignon
6161,corn flake
6169,joe sauce
6185,old
6187,tail
6190,spring
6200,cardamom
6223,chicken sausage
6245,stuffed
6257,port wine
6320,lea perrins
6405,yam
6406,baby turnip
6437,cauliflower
6480,pork bean
6484,watercress
6489,pepper juice
6491,®/best
6496,drumstick
6498,celeriac root
6514,cajun seasoning
6516,store
6537,brine
6573,hock
6575,bourbon whiskey
6609,butter kerrygold
6629,boston pork
6635,beef oxtail
6643,carton broth
6650,bonnet chile
6659,jack cheese
6689,blend vegetable
6694,orange bell
6709,reserve juice
6714,tomato chili
6729,pheasant breast
6766,chile sauce sriracha
6772,lime marinade
6784,teriyaki marinade sauce
6787,currant
6815,parmesan reggiano
6837,dill relish
6843,fun hair
6966,chili oil
6994,thai peanut
7012,chocolate
7053,celery rib
7055,quinoa
7064,cottage cheese
7089,potato flake
7096,milk powder
7111,cumin seed
7131,curry
7140,zinfandel wine
7182,preserve
7193,whole chicken
7210,pastry
7228,concentrate
7229,italian
7288,pie spice
7296,wing sauce
7313,strawberry
7318,linguine
7321,beef sirloin
7356,ghee butter
7421,masala
7428,spice powder
7442,plum tomato
7458,smithfield
7462,cherry
7584,dough
7588,lemongrass
7599,oyster
7600,giblet
7672,hickory
7674,tamarind juice
7724,tofu
7726,shirataki
7728,enoki
7766,madras
7798,cutlet
7808,shell
7817,russet
7837,rabbit
7865,corn bread
7871,grape juice
7899,dog
7900,horseradish
7910,dog bun
7955,salami
7958,submarine
7979,ale
8003,oat
8018,spray
8047,coriander seed
8127,vanilla yogurt
8130,almond extract
8260,chilli
8288,swiss
8319,mexico
8360,chile powder
8424,squid ink
8447,® diced
8453,college inn
8457,polenta pasta
8494,baking
8500,hoagie
8583,creamer
8671,onion soup
8704,muscovado sugar
8724,thai curry
8725,turkey carcass
8732,co.™
